Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
108,US-2014-112368,6/8/14,6/12/14,Second Class,TT-21265,Tim Taslimi,Corporate,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-AR-10000503,16.08,4,0.4,-5.36,2.22,High
109,US-2014-112368,6/8/14,6/12/14,Second Class,TT-21265,Tim Taslimi,Corporate,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-PA-10001470,11.172,1,0.4,-0.188,1.71,High
113,US-2013-130631,9/16/13,9/21/13,Second Class,SW-20275,Scott Williamson,Consumer,Resistencia,Chaco,Argentina,,LATAM,South,OFF-PA-10000318,66.948,7,0.4,-16.772,5.73,Medium
114,US-2013-130631,9/16/13,9/21/13,Second Class,SW-20275,Scott Williamson,Consumer,Resistencia,Chaco,Argentina,,LATAM,South,OFF-PA-10002219,65.232,9,0.4,8.532,6.27,Medium
115,US-2013-130631,9/16/13,9/21/13,Second Class,SW-20275,Scott Williamson,Consumer,Resistencia,Chaco,Argentina,,LATAM,South,OFF-ST-10003089,409.26,5,0.4,20.46,29,Medium
135,MX-2014-128762,10/29/14,11/3/14,Standard Class,FW-14395,Fred Wasserman,Corporate,Mendoza,Mendoza,Argentina,,LATAM,South,OFF-LA-10000203,13.32,5,0.4,0.42,1.11,Medium
136,MX-2014-128762,10/29/14,11/3/14,Standard Class,FW-14395,Fred Wasserman,Corporate,Mendoza,Mendoza,Argentina,,LATAM,South,OFF-AP-10000621,373.284,3,0.4,49.764,30.01,Medium
137,MX-2014-128762,10/29/14,11/3/14,Standard Class,FW-14395,Fred Wasserman,Corporate,Mendoza,Mendoza,Argentina,,LATAM,South,OFF-BI-10004080,5.598,1,0.7,-13.062,0.4,Medium
169,US-2013-103513,12/26/13,12/28/13,Second Class,YS-21880,Yana Sorensen,Corporate,Salta,Salta,Argentina,,LATAM,South,OFF-PA-10001516,10.512,1,0.4,-2.808,3.16,Critical
208,US-2014-146080,4/1/14,4/1/14,Same Day,MW-18220,Mitch Webber,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,FUR-CH-10000528,67.776,2,0.4,-44.064,8.77,Critical
209,US-2014-146080,4/1/14,4/1/14,Same Day,MW-18220,Mitch Webber,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-BI-10003372,63.504,6,0.7,-146.136,12.79,Critical
210,US-2014-146080,4/1/14,4/1/14,Same Day,MW-18220,Mitch Webber,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-EN-10003352,24.024,2,0.4,3.184,6.74,Critical
211,US-2014-146080,4/1/14,4/1/14,Same Day,MW-18220,Mitch Webber,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-BI-10003184,2.316,2,0.7,-2.564,0.35,Critical
212,US-2014-146080,4/1/14,4/1/14,Same Day,MW-18220,Mitch Webber,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-FA-10004586,8.184,2,0.4,-2.056,2.47,Critical
213,US-2014-146080,4/1/14,4/1/14,Same Day,MW-18220,Mitch Webber,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-EN-10001755,198.528,11,0.4,-23.232,42.67,Critical
252,US-2013-141257,1/30/13,2/4/13,Second Class,SC-20845,Sung Chung,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,FUR-BO-10001067,249.72,5,0.4,-33.38,25.61,Medium
253,US-2013-141257,1/30/13,2/4/13,Second Class,SC-20845,Sung Chung,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-LA-10002334,9.144,2,0.4,-0.176,1.08,Medium
254,US-2013-141257,1/30/13,2/4/13,Second Class,SC-20845,Sung Chung,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-LA-10004495,9.744,4,0.4,-0.656,0.94,Medium
271,US-2014-148796,4/2/14,4/9/14,Standard Class,KM-16720,Kunst Miller,Consumer,San Fernando del Valle de Catamarca,Catamarca,Argentina,,LATAM,South,OFF-BI-10000963,3.432,2,0.7,-4.928,0.6,Low
272,US-2014-148796,4/2/14,4/9/14,Standard Class,KM-16720,Kunst Miller,Consumer,San Fernando del Valle de Catamarca,Catamarca,Argentina,,LATAM,South,OFF-ST-10000836,43.368,2,0.4,-22.432,2.97,Low
292,MX-2013-162481,4/11/13,4/16/13,Standard Class,MP-17965,Michael Paige,Corporate,San Justo,Santa Fe,Argentina,,LATAM,South,TEC-PH-10003312,161.1,5,0.4,2.6,5.02,Medium
299,MX-2013-145569,11/4/13,11/8/13,Standard Class,BS-11380,Bill Stewart,Corporate,La Plata,Provincia de Buenos Aires,Argentina,,LATAM,South,FUR-BO-10004423,99.528,2,0.4,13.248,8.91,High
338,US-2013-104283,7/25/13,7/26/13,First Class,MC-17590,Matt Collister,Corporate,Paraná,Entre Ríos,Argentina,,LATAM,South,TEC-CO-10004570,238.4824,5,0.402,-24.8176,59.65,High
411,US-2014-158813,11/24/14,11/28/14,Standard Class,DB-12910,Daniel Byrd,Home Office,Córdoba,Córdoba,Argentina,,LATAM,South,OFF-BI-10004145,3.624,4,0.7,-3.576,0.24,Medium
412,US-2014-158813,11/24/14,11/28/14,Standard Class,DB-12910,Daniel Byrd,Home Office,Córdoba,Córdoba,Argentina,,LATAM,South,FUR-TA-10001602,402.96,4,0.7,-725.36,25.2,Medium
417,US-2013-135951,9/12/13,9/18/13,Standard Class,DL-12925,Daniel Lacy,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,TEC-AC-10001055,68.796,3,0.4,-45.864,3.86,Medium
418,US-2012-153983,4/17/12,4/22/12,Standard Class,FP-14320,Frank Preis,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-BI-10003009,23.928,4,0.7,-39.912,2.14,High
437,US-2011-122651,6/22/11,6/28/11,Standard Class,CK-12325,Christine Kargatis,Home Office,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,FUR-TA-10002088,182.214,3,0.7,-267.306,18.54,Medium
438,US-2011-122651,6/22/11,6/28/11,Standard Class,CK-12325,Christine Kargatis,Home Office,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-BI-10001199,1.788,1,0.7,-2.872,0.08,Medium
756,MX-2013-127859,5/24/13,5/29/13,Standard Class,CJ-11875,Carl Jackson,Corporate,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,FUR-FU-10003419,88.224,4,0.4,11.744,6.52,Medium
757,MX-2013-127859,5/24/13,5/29/13,Standard Class,CJ-11875,Carl Jackson,Corporate,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,TEC-CO-10000388,127.50556,1,0.402,-85.71444,13.89,Medium
758,MX-2013-127859,5/24/13,5/29/13,Standard Class,CJ-11875,Carl Jackson,Corporate,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-PA-10003715,21,2,0.4,-11.92,1.18,Medium
795,US-2013-162068,1/5/13,1/9/13,Standard Class,SP-20920,Susan Pistek,Consumer,Avellaneda,Santa Fe,Argentina,,LATAM,South,FUR-CH-10002088,101.376,3,0.4,-27.084,2.26,Medium
796,US-2013-162068,1/5/13,1/9/13,Standard Class,SP-20920,Susan Pistek,Consumer,Avellaneda,Santa Fe,Argentina,,LATAM,South,OFF-EN-10003529,31.428,3,0.4,-19.392,2.2,Medium
842,US-2012-148383,12/27/12,12/31/12,Second Class,LH-17155,Logan Haushalter,Consumer,Mendoza,Mendoza,Argentina,,LATAM,South,TEC-AC-10001407,46.224,3,0.4,-12.336,3.11,Medium
1122,US-2014-101651,8/21/14,8/21/14,Same Day,SC-20695,Steve Chapman,Corporate,Rosario,Santa Fe,Argentina,,LATAM,South,FUR-BO-10001781,1311.552,9,0.4,-306.108,76.65,Medium
1123,US-2014-101651,8/21/14,8/21/14,Same Day,SC-20695,Steve Chapman,Corporate,Rosario,Santa Fe,Argentina,,LATAM,South,OFF-ST-10002122,40.5,9,0.4,-21.6,4.96,Medium
1124,US-2014-101651,8/21/14,8/21/14,Same Day,SC-20695,Steve Chapman,Corporate,Rosario,Santa Fe,Argentina,,LATAM,South,TEC-AC-10004429,66.936,2,0.4,6.656,5.52,Medium
1125,US-2014-101651,8/21/14,8/21/14,Same Day,SC-20695,Steve Chapman,Corporate,Rosario,Santa Fe,Argentina,,LATAM,South,OFF-ST-10002930,634.848,8,0.4,-74.112,80.6,Medium
1139,MX-2012-100741,8/1/12,8/3/12,Second Class,MS-17830,Melanie Seite,Consumer,Santiago del Estero,Santiago del Estero,Argentina,,LATAM,South,TEC-PH-10004184,255.168,8,0.4,38.208,22.28,Critical
1140,MX-2012-100741,8/1/12,8/3/12,Second Class,MS-17830,Melanie Seite,Consumer,Santiago del Estero,Santiago del Estero,Argentina,,LATAM,South,OFF-LA-10000073,13.032,3,0.4,-3.528,3.65,Critical
1141,MX-2012-100741,8/1/12,8/3/12,Second Class,MS-17830,Melanie Seite,Consumer,Santiago del Estero,Santiago del Estero,Argentina,,LATAM,South,OFF-BI-10001275,6.69,5,0.7,-9.91,1.18,Critical
1158,US-2014-107664,12/5/14,12/11/14,Standard Class,TG-21640,Trudy Glocke,Consumer,La Plata,Provincia de Buenos Aires,Argentina,,LATAM,South,FUR-BO-10001585,272.544,4,0.4,-54.576,12.43,Medium
1159,US-2014-107664,12/5/14,12/11/14,Standard Class,TG-21640,Trudy Glocke,Consumer,La Plata,Provincia de Buenos Aires,Argentina,,LATAM,South,FUR-CH-10001647,64.812,1,0.4,-32.408,3.58,Medium
1160,US-2014-107664,12/5/14,12/11/14,Standard Class,TG-21640,Trudy Glocke,Consumer,La Plata,Provincia de Buenos Aires,Argentina,,LATAM,South,OFF-EN-10000258,29.916,3,0.4,-10.524,2.59,Medium
1161,US-2014-107664,12/5/14,12/11/14,Standard Class,TG-21640,Trudy Glocke,Consumer,La Plata,Provincia de Buenos Aires,Argentina,,LATAM,South,OFF-LA-10000738,2.808,1,0.4,0.268,0.15,Medium
1272,US-2012-111934,9/11/12,9/16/12,Standard Class,SP-20860,Sung Pak,Corporate,Cipolletti,Río Negro,Argentina,,LATAM,South,TEC-AC-10001830,409.824,4,0.4,-245.936,31.7,Medium
1274,US-2012-111269,8/22/12,8/22/12,Same Day,JL-15130,Jack Lebron,Consumer,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-PA-10001708,37.44,3,0.4,-11.88,7.91,High
1306,US-2011-115315,11/8/11,11/10/11,Second Class,LD-17005,Lisa DeCherney,Consumer,Resistencia,Chaco,Argentina,,LATAM,South,FUR-CH-10004755,394.704,6,0.4,-26.376,115.72,Critical
1335,US-2013-126158,3/15/13,3/15/13,Same Day,MG-17680,Maureen Gastineau,Home Office,Rosario,Santa Fe,Argentina,,LATAM,South,OFF-BI-10002517,6.336,2,0.7,-6.584,1.24,Critical
1347,US-2012-119991,9/19/12,9/25/12,Standard Class,PA-19060,Pete Armstrong,Home Office,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-PA-10002360,108.576,8,0.4,-68.864,3.6,Medium
1348,US-2012-119991,9/19/12,9/25/12,Standard Class,PA-19060,Pete Armstrong,Home Office,Buenos Aires,Buenos Aires,Argentina,,LATAM,South,OFF-AP-10003043,72.792,2,0.4,-31.568,4.08,Medium
