Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
9445,US-2014-120166,12/27/14,12/31/14,Standard Class,FH-14275,Frank Hawley,Corporate,Jamundí,Valle del Cauca,Colombia,,LATAM,South,FUR-TA-10000310,842.32,5,0.2,-200.08,120.11,High
9446,US-2014-120166,12/27/14,12/31/14,Standard Class,FH-14275,Frank Hawley,Corporate,Jamundí,Valle del Cauca,Colombia,,LATAM,South,OFF-BI-10003503,11.68,2,0,3.72,1.75,High
9447,US-2014-120166,12/27/14,12/31/14,Standard Class,FH-14275,Frank Hawley,Corporate,Jamundí,Valle del Cauca,Colombia,,LATAM,South,OFF-SU-10004192,53.5,5,0,10.7,8.14,High
1200,MX-2014-120271,12/23/14,12/28/14,Standard Class,PK-19075,Pete Kriz,Consumer,Duitama,Boyacá,Colombia,,LATAM,South,TEC-CO-10003694,505.986,2,0.002,29.386,26.21,Medium
1201,MX-2014-120271,12/23/14,12/28/14,Standard Class,PK-19075,Pete Kriz,Consumer,Duitama,Boyacá,Colombia,,LATAM,South,OFF-SU-10001132,130,5,0,40.3,8.07,Medium
3157,MX-2014-154305,12/19/14,12/21/14,Second Class,PO-18850,Patrick O'Brill,Consumer,Bogotá,Bogota,Colombia,,LATAM,South,FUR-BO-10003323,456.96,4,0,187.28,76.96,High
6996,MX-2014-162565,12/6/14,12/11/14,Standard Class,HM-14980,Henry MacAllister,Consumer,Barranquilla,Atlántico,Colombia,,LATAM,South,TEC-PH-10002572,226.12,2,0,97.2,12.06,Medium
6997,MX-2014-162565,12/6/14,12/11/14,Standard Class,HM-14980,Henry MacAllister,Consumer,Barranquilla,Atlántico,Colombia,,LATAM,South,OFF-AR-10001991,44.94,3,0,18.42,2.11,Medium
9513,MX-2014-162705,12/3/14,12/8/14,Standard Class,CT-11995,Carol Triggs,Consumer,Floridablanca,Santander,Colombia,,LATAM,South,FUR-CH-10004725,153.84,4,0,26.08,17.99,High
9514,MX-2014-162705,12/3/14,12/8/14,Standard Class,CT-11995,Carol Triggs,Consumer,Floridablanca,Santander,Colombia,,LATAM,South,FUR-BO-10002679,250.2,3,0,80.04,33.71,High
9258,MX-2014-135202,11/25/14,12/1/14,Standard Class,BM-11785,Bryan Mills,Consumer,Medellín,Antioquia,Colombia,,LATAM,South,FUR-BO-10001356,731.82,3,0,146.34,44.59,Medium
9923,MX-2014-145772,11/18/14,11/23/14,Standard Class,RB-19330,Randy Bradley,Consumer,Bogotá,Bogota,Colombia,,LATAM,South,TEC-AC-10001491,83.04,3,0,2.46,4.34,Medium
3915,MX-2014-120782,11/17/14,11/24/14,Standard Class,ED-13885,Emily Ducich,Home Office,Cúcuta,Norte de Santander,Colombia,,LATAM,South,OFF-FA-10001877,45.6,5,0,9.1,4.69,Low
6008,MX-2014-113656,11/15/14,11/15/14,Same Day,NM-18520,Neoma Murray,Consumer,Bucaramanga,Santander,Colombia,,LATAM,South,OFF-PA-10003513,134.46,9,0,60.48,10.54,Medium
8521,MX-2014-144015,11/14/14,11/18/14,Standard Class,TS-21430,Tom Stivers,Corporate,Facatativá,Cundinamarca,Colombia,,LATAM,South,OFF-LA-10002295,36,5,0,16.5,3.86,High
8522,MX-2014-144015,11/14/14,11/18/14,Standard Class,TS-21430,Tom Stivers,Corporate,Facatativá,Cundinamarca,Colombia,,LATAM,South,OFF-BI-10000335,40.4,2,0,9.28,5.96,High
